,Titles,Links,Post_Time,Author,Content
224,Permanent dizzyness ,https://patient.info/forums/discuss/permanent-dizzyness-756364,2021-06-11T03:37+00:00,"
                                alexandra02984
                            ","Hi, can anyone tell me if they have had similar experience and how long it took to go?

I had covid two weeks ago, since then I am suffering permanent dizzyness, I can hardly do anything. I'm 35 years old, fit and well, no underlying conditions. GP told me to ride it out but it isn't getting any better.

Anyone else had permanent dizzyness? 

Thank you "
225,Suffering with Long Covid,https://patient.info/forums/discuss/suffering-with-long-covid-758601,2021-06-10T23:19+00:00,"
                                nicholas43391
                            ",Over the past few months I have been suffering with most if not all of the typical long covid symptoms.  I just had a telephone conversation with a doctor who has told me that because I was not tested for covid19 and found to be infected and because I was not tested for covid antibodies before I received my first vaccination injection that I cannot be considered to be a long covid sufferer and therefore would not be accepted by a long covid clinic.  Is this correct ?
226,AstraZeneca and past Ischemic Stroke patients,https://patient.info/forums/discuss/astrazeneca-and-past-ischemic-stroke-patients-764344,2021-06-10T14:26+00:00,"
                                Tonson
                            ","Hi, first-timer here. I would like to ask for second opinions on behalf of my mother.

Does the risks of VITT from the AstraZeneca vaccine increase in people who had prior Ischemic Strokes? In this case, it was in the brain and treated with anti-clotting vaccination and medicine (don't know the names).

On a side note, if someone had the Sinopharm vaccine as the first dose, and could only get the AstraZeneca vaccine as the second, should the interval be 4 or 12 weeks?

Thank you!"
227,Has Anyone Had Taste and Smell Loss Reoccur After COVID-19?,https://patient.info/forums/discuss/has-anyone-had-taste-and-smell-loss-reoccur-after-covid-19--760830,2021-06-09T22:18+00:00,"
                                emily80310
                            ","I had COVID-19 almost two months ago and lost my taste and smell. It has not come back 100%, but it did get better. It seems like I've suddenly lost a lot of my taste again tonight, and I'm wondering if anyone has experienced this (waxing and waning of taste and smell following recovery)? My concern is that I may have COVID-19 again and that this is a sign, but I know COVID-19 can do weird things. Has anyone experienced a reoccurrence of taste or smell loss after getting it back?"
228,IgM levels not dropping after more than 1 month after recovering from covid,https://patient.info/forums/discuss/igm-levels-not-dropping-after-more-than-1-month-after-recovering-from-covid-764265,2021-06-09T17:42+00:00,"
                                Ken212121
                            ","Hello everyone,

This is my first post, so please excuse my mistakes.

I've recovered from covid, more than a month ago. My PCR test is negative.

My employers asked me to do an anti-body blood test. The result was both IgM and IgG as positive. They have asked me to continue working from home until my IgM is negative. Another colleague who also got sick from covid has joined work again because his IgM level is negative now as well as PCR test.

My question is, if my IgM (short term immunity) is not coming down mean, I still have some virus remaining in my system. Also what can I do to reduce IgM levels so that I can go back to work again.
IgM = 28.9, IgG = 42.83 June 7 2021
IgM = 16.2, IgG = 47.02  May 31 2021
IgM = 15.1, IgG = 6.8 May 15 2021

I will appreciate any help and guidance.

Best regards,
Desperate to go back to work."
229,Covid or helicobacter pylori and lymphoid glands,https://patient.info/forums/discuss/covid-or-helicobacter-pylori-and-lymphoid-glands-758492,2021-06-09T14:10+00:00,"
                                mour87144
                            ","I am sending to check if there is any one faced similar symptoms or know more than I do so that you can somehow guide me.

In the mid of 2019 I started having very cold hands before lunch time that I can't work. I went to do blood test and I was asked to take vitamins which didn't do any change.

Then In had the symptoms of corona in the 23 of march 2020,
* 1st day: Shivering, headache, diarrhea, couldn't eat
* 2nd day: sorethroat at mid day, couldn't eat
* 3rd day: started eating, sorethroat ended at mid day, blocked nose at night with lump in throat (solved the blocked nose with spray o.w I wouldn't breath)
* 4th day: same as 3rd day

I wasn't eligible for test so I had to stay only at home. After these 4 days and I started feeling progress, then I suddenly noticed 
* breathing problems after lunch only. 
* A lot of burping, 
* dead skin around my nose 
* needles feeling in my chest
* Frequent red itchy skin at the lymphoid gland area as well as red itchy skin on the esophagus area
* Can't talk a lot or shout as I feel sensitive in my throat


In June my esophagus was so inflamed that after touching the area of lymphoid gland, I had a fast heart beat and I went to do corona test which came negative. I went to the doctor who doubted that I have reflux and after trying Proton pump inhibitors for two weeks nothing changed and then he asked me to do a spectroscopy and we found nothing. Strangely that I found a friend of a friend that had the same symptoms but she even had blood coming from her throat. She did the spectroscopy and found that it was Helicobacter Pylori is the reason. My doctor simply told me, don't be scared because it seems to be a psychological problem.


I read online to see life habits to decrease the effect of reflux and what really made a difference was to avoid sitting in the bed before sleeping. That removed the most harsh symptom of breathing problems after lunch. Yet I went on with a lot of burping, daily dead skin around my nose and needles feeling in my chest and around every 3 weeks to have red itchy skin over lymphoid and esophagus.


Now that a year has passed and I am still having the same symptoms plus frequent numbness in the back of my feet and my feet nails is getting destroyed.  I have read in a publication that Helicobacter pylori bacteria increases the ace 2 receptors which covid19  use as a host cell and another paper today that Helicobacter pylori is the reason behind lymphoid gland problems. 


Does anyone facing the same problems or something similar, know any extra information that I might be missing or have advice? 


"
230,Moderna 2 doses - my reactions,https://patient.info/forums/discuss/moderna-2-doses-my-reactions-756664,2021-06-08T00:53+00:00,"
                                mike1997
                            ","I got the 1st dose of Moderna's covid vaccine 28 days ago and had a sore arm for 4 days.  It hurt alot.  I had difficulty raising my arm.  I also felt a bit tired.  The tiredness disappeared after 24 hours.

1 day ago, I got my 2nd dose of the Moderna vaccine and this time after the vaccine I took 2 extra strength Tylenol as I heard that the symptoms are much worse.  However my arm didn't hurt as much although it did hurt.  I did feel a very slight case of chills that night.   I also felt aches and pains the next day and my arm was swollen.  I took 2 tylenol every 6 hours for a total of 4 times.  On the last dose, my arm pain almost completely disappeared and I pretty much felt back to normal about 28 hours after receiving the 2nd dose.

Not bad and certainly not as bad as some vaccine reaction stories I've hear from others.  I would also say that my experience seems to confirm that the 2nd dose can elicit a bit more or stronger reactions than the 1st dose.

GET THE VACCINE AS SOON AS YOU CAN!  I feel relieved now that I've had my 2nd dose and glad that I will be contributing to achieving herd immunity."
231,"Scared of catching covid, I am just being silly?  Causing arguments at home.",https://patient.info/forums/discuss/scared-of-catching-covid-i-am-just-being-silly-causing-arguments-at-home--763661,2021-06-02T23:41+00:00,"
                                steve26001
                            ","Am i over reacting?  please help as my wife says I am..  we need to get this sorted as its causing so much friction at home.

so.. ill try and write this as unbiased as i can be and only provide the facts.

the facts..
I'm classed as high risk, i had my spleen removed and have been shielding.
I've had both my astra jabs over 5 weeks ago
shes had both her pfiser jabs over 7 weeks ago as part of the nhs

My wife wants to volunteer to work on the covid vaccination bus that's been coming around in Bolton.  I'm scared that she's putting herself and me at risk by doing this.  She says she is stood outside with masks on a meter from the person taking details and giving them directions.

I know the vacs that we have both had provide some protection, but its all to do with probability.  I'm saying its just not worth the risk, this new variant is easier to catch, high levels in Bolton and i really dont want to find out if my vac has worked or not.  She says I'm just being silly and need to get help and advice.. hence the reason for this post. 

any help or advice would be greatly welcome..   thanks in advance  Steve


"
232,Will diarrhea reduce effectiveness of Covid vaccine?,https://patient.info/forums/discuss/will-diarrhea-reduce-effectiveness-of-covid-vaccine--762765,2021-06-01T10:08+00:00,"
                                runner0520
                            ","Hi

I have a friend with type 2 diabetes and they have just had their 2nd jab (the Oxford/AstraZenica one). It's about 12 hours since they had their jab and they have told me that they have developed diarrhea. They don't know if that is caused by the vaccine or because they drank some water which I gave them and I did not realise until afterwards that the water bottle they used all day was visibly dirty with grime.

I would like to know if diarrhea will affect their body's ability to process the vaccine. I have tried to find the answer on the internet but there are a lot of sites and none seem to cover things which could reduce the effectiveness of the vaccine. 

So can anyone help me understand the issues that diarrhea will cause?

Thanks in advance,

"
233,Covid-19 Vaccinations,https://patient.info/forums/discuss/covid-19-vaccinations-762595,2021-06-01T09:44+00:00,"
                                dave1933
                            ","When can I get online verification and
print the details?



"
234,Covid confusion,https://patient.info/forums/discuss/covid-confusion-757316,2021-05-31T10:08+00:00,"
                                lamont15281
                            ","My wife's family had a large gathering for Christmas which we did not attend. about a week and a half later, seven of them came down with covid. One of them, my wife's father died. Yesterday, they held a memoral for my wife's father in the same house with the same people who were there for Christmas. there were about 40 people there, and my son and I were the only ones wearing masks. I stayed outside, but my wife, who claimed she lost her mask, stayed indoors for about four hours. Afterward, I told her I planned to wear a mask when she was around and that I planned to sleep in the livingroom until she either got tested, or didn't show any symptoms after two weeks. she became irate and informed me she would not be getting a test. She has refused to talk to me since. Am I out of line? Would it be safe to go around her before the two weeks are up?"
235,COVID AND MOUTH SORES,https://patient.info/forums/discuss/covid-and-mouth-sores-763457,2021-05-31T10:00+00:00,"
                                jan34534
                            "," has anyone had or know of anybody that had any kind of mouth sore with Covid? I know that it’s possible but not very common. 
 thanks! "
236,Covid & Comas,https://patient.info/forums/discuss/covid-comas-763426,2021-05-29T09:12+00:00,"
                                ComaResearcher
                            ",Has anybody here been placed in a medically-induced coma for Covid and then had strange experiences within the coma?
237,Delayed loss of taste,https://patient.info/forums/discuss/delayed-loss-of-taste-760518,2021-05-28T15:23+00:00,"
                                sean88814
                            ",I tested positive 4 weeks ago and while I had other symptoms and was sick I never lost my taste but today everything tastes bland. Has anyone experienced that?
238,Corona  Virus post symptoms,https://patient.info/forums/discuss/corona-virus-post-symptoms-759011,2021-05-28T08:31+00:00,"
                                Matjoss
                            ","HI, I had Corona in November and lost smell but in late February I could smell a horrible  smell where ever I went and everything tastes the same as this  smell. I would say it smells a bit like cooked chicken thighs. 
I have come to the conclusion its my brain substituting this smell / taste instead of what the smells and tastes should be. When I go into another room my brain thinks there should be a new smell here so I get a big smell of the chicken thighs and every time I eat its the same smell and taste.

Has anyone else had this symptom. I'm only guessing its from Corona.

Any in site into this would be appreciated.

Thx."
239,I've gotten two false positives from rapid tests. Anybody else?,https://patient.info/forums/discuss/i-ve-gotten-two-false-positives-from-rapid-tests-anybody-else--763318,2021-05-28T00:14+00:00,"
                                sarah20003
                            ",I've been sent in for a rapid test twice and both times my results have come back as positive. Immediately afterwards I went to the hospital for the more accurate PCR test and both times they were negative. The first time I thought it was just bad luck. Twice in a row is making me wonder if there are people that rapid tests don't work on for some reason. Has this happened to anyone else?
240,Mom has COVID after being fully vaccinated with the Pfizer vaccine. Should she go to the hospital?,https://patient.info/forums/discuss/mom-has-covid-after-being-fully-vaccinated-with-the-pfizer-vaccine-should-she-go-to-the-hospital--761305,2021-05-27T13:08+00:00,"
                                sigraur64713
                            ","My mom is in India and got a positive COVID test after being fully vaccinated. She had a runny nose that went away and she's not 100% sure she can smell properly.  
  
My question is, what are the chances that this is a false positive - she did a PCR test. Should she go to the hospital?  
  
"
241,"I had covid in January , now I have sever joint pain in my knee, Related",https://patient.info/forums/discuss/i-had-covid-in-january-now-i-have-sever-joint-pain-in-my-knee-related-762663,2021-05-27T13:06+00:00,"
                                randy41812
                            ","I had x-rays that show bone growth in the soft tissues of my knee , its really hurts could it be a long hauler symptom from covid   
"
242,Wisdom teeth and Covid-19 vaccine - what should I do?,https://patient.info/forums/discuss/wisdom-teeth-and-covid-19-vaccine-what-should-i-do--761034,2021-05-27T12:59+00:00,"
                                nikola26950
                            ","Hello :)

My two upper wisdom teeth have been going out for a few months. Now, they are almost out, but I cannot get them extracted yet. It is painful. Can I get the first dose of my Covid-19 vaccine in those circumstances? What do you think? Anybody has been in the same situation? 

Thank you"
243,"Fear Of Going Out (FOGO): as lockdown conditions ease, the University of Hertfordshire investigates ",https://patient.info/forums/discuss/fear-of-going-out-fogo-as-lockdown-conditions-ease-the-university-of-hertfordshire-investigates-763018,2021-05-24T13:43+00:00,"
                                aaron08701
                            ","Hi everyone! 
Lockdown is easing at last, but perhaps you (or someone you know) is having problems adjusting - maybe even experiencing FOGO (Fear Of Going Out)?
Would you like to help us understand this issue better by taking part in a study led by the University of Hertfordshire?
We are investigating why some people are finding it difficult to adjust to the easing of pandemic restrictions. Participation would involve completing a brief online survey with questions relating to coping and thinking styles. The results of this research will inform further research and support interventions in the field of mental health in relation to the COVID-19 pandemic.
You can access the study from here: https://research.sc/participant/login/dynamic/912BD473-D262-4654-ACFD-74801AD4E21C
Also, please help us by sharing this invitation with others via your social media contacts or other personal networks.
The study has been approved by the University of Hertfordshire Health and Human Science Ethics Committee with Delegated Authority (ECDA) (Protocol Number: LMS/PGR/UH/04554)
Thank you in advance.
"
244,Did anyone else have this weird gasping in air out of the blue after covid?,https://patient.info/forums/discuss/did-anyone-else-have-this-weird-gasping-in-air-out-of-the-blue-after-covid--762773,2021-05-21T00:41+00:00,"
                                randy41812
                            ","I would be just doing nothing then all of a sudden take a large gasp of air , that happened for like a month after I had covid. Thankfully its gone now. I kind of sounded like a seal"
245,Face mask efficiency FFP3 non-valved versus FFP3 valved,https://patient.info/forums/discuss/face-mask-efficiency-ffp3-non-valved-versus-ffp3-valved-758187,2021-05-20T15:55+00:00,"
                                mikeyforgey
                            ","Hello everyone,

I hope everyone is keeping safe! I just have a very quick question as I am severely disabled and I will need to go into a hot coronavirus zone.

I have 3M FFP3 non-valved and 3M FFP3 valved.

I know FFP3 is the best you can pretty much get along with face shield. I am worried that the valve version will let coronavirus get through when I am inhaling.

Can anyone confirm if coronavirus can get through the valve?
Many thanks and kind regards Mike"
246,Feeling of bruised skin after vaccine,https://patient.info/forums/discuss/feeling-of-bruised-skin-after-vaccine-759651,2021-05-20T15:49+00:00,"
                                lee30599
                            ","Hi, 

I had the AZ vaccine last Monday (29 March). A couple of days after  I started to feel bruised around my stomach, ribs and back and this has persisted since. At times I feel like I've been beaten up. Has anyone else had this?"
247,Could this x-ray and blood test result be covid 19?,https://patient.info/forums/discuss/could-this-x-ray-and-blood-test-result-be-covid-19--760272,2021-05-20T15:46+00:00,"
                                musa17399
                            ",![image](https://patient.azureedge.net/forums/images/upload-sm/1370943-637543740462804903.jpg)![image](https://patient.azureedge.net/forums/images/upload-sm/1370943-637543740530642084.jpg)
248,Is taking 2 covid vaccines safe? (4 doses total),https://patient.info/forums/discuss/is-taking-2-covid-vaccines-safe-4-doses-total--760303,2021-05-20T15:43+00:00,"
                                Guest
                            ","Hi, I am a 55 year old male, and I received both doses of the Sinopharm vaccine. My job requires travel, but my home country does not ""recognize"" Sinopharm, and will not permit me to re-enter unless I take a vaccine from their approved list (Pfizer). The time frame would be:

**12 Dec 2020** - 1st Sinopharm dose (*taken- no side effects)*
**mid Jan 2021** - 2nd Sinopharm dose *(taken- no side effects)*
**24 Apr 2021** - 1st Pfizer dose *(yet to be taken)*
**15 May 2021** - 2nd Pfizer dose *(yet to be taken)*

Would there be any obvious issues/risks with going forward with this plan? (I have heard there would be increased risk of blood clotting)
Would waiting 6 months between my 2nd Sinopharm and 1st Pfizer dose mitigate side-effects?

Thank you."
249,My Weird COVID19 Symptoms,https://patient.info/forums/discuss/my-weird-covid19-symptoms-761247,2021-05-20T15:38+00:00,"
                                carlos23667
                            ","Hello All,

So I am currently on day 9 of being COVID19 positive and I have had some weird symptoms.   If anyone can relate, please let me know. 

I've had no fever, cough, shortness of breath.   But I have been struggling with heartburn... yes. 

1- I get the pressure in my chest that usually calms down when I burp. 
2- I take Omeprazole for gastritis and Tums helps it. 
3- When I'm hungry, it is crazy gassy and hurts.
4- I've got Diarrheas' well.
5- some dizziness.

as you can see, my symptoms are not as common as everyone else or even the CDC report or any website or any information out there.   I am looking to see if this is happening or happened to anyone else, but I feel alone. 

The Anxiety is killing me.  "
250,What is The Right Way To  Sanitize Your Home?,https://patient.info/forums/discuss/what-is-the-right-way-to-sanitize-your-home--762570,2021-05-20T15:17+00:00,"
                                guru78610
                            ","My house have been contaminated, as one my family member was positive.  They are negative now, but I was worried. So I book  sanitization service provider to sanitize my home. They came  with some advance machine and completed the sanitization. Should I stay tention free?"
251,Bad reaction to 2nd Prizer,https://patient.info/forums/discuss/bad-reaction-to-2nd-prizer-762419,2021-05-16T14:49+00:00,"
                                Teddyman5
                            ","Wondered if anyone experienced anything similar  
All fine after the first fine and fine for 2 days after the 2nd  Then I had sudden onset of violent chills, vomiting and diarrhoea followed by very high temp/ burning up  
Vomiting and diarrhoea stopped in 24 hours but chills continued for another 5 days  
My body temperature still isn't settled and I feel hot  Only just started eating and that's a real struggle as little tastes as it should  
Cornish ice cream jelly energy drinks hopefully going to help put back the lost 10 pounds

Any advice info experience sharing would be good"
252,Would a high anti-TPO affect  which COVID vaccine to choose?,https://patient.info/forums/discuss/would-a-high-anti-tpo-affect-which-covid-vaccine-to-choose--759769,2021-05-13T12:27+00:00,"
                                GoodCat
                            ","My blood test says my anti-TPO is too high at 215 (normal is 35 or less) Would this affect whether I can get a COVID vaccine, or which kind such as Moderna or Pfizer?

**Out of range**
Anti TPO 215 kIU/L (reference range < 35)

**In range**
Anti TG 13 kIU/L (<40)

Free T3 3.8 pmol/L (2.6-5.8)

Free T4 12 pmol/L(9-19)

Sensitive TSH 2.87 mIU/L(0.32-4.00)

**Additional info
Out of range:**

Urea Creatinine 42 umol/L (50-100)

Insulin: fasting 15 pmol/L (20-180)

GGT 11 u/L (12-37)"
253,Covid fever ,https://patient.info/forums/discuss/covid-fever-758638,2021-05-13T11:53+00:00,"
                                bob41853
                            ",I have covid for two weeks now and this fever wont break . it seems to comeback at night time . anybody ekse having this experience or any tips on how i can break this fever ? any advice would be greatly appreciated .  two weeks of fever and shottness of breathe but i got my smell and taste back 
254,POST COVID LOW BLOOD PRESSURE,https://patient.info/forums/discuss/post-covid-low-blood-pressure-761960,2021-05-11T12:30+00:00,"
                                twinkey59917
                            ","Hello all,

I was tested positive for covid two weeks back ,which started with low fever , breathlessness and severe malaise. i was also having low pulse rate and blood pressure . Now its been almost more than two weeks and i have tested negative , but still admitted in hospital due to flucatuating Blood pressure ,which goes down very low All my other tests have come normal and even doctors are perplexed on my low bp and say that it can be a post covid syptom which will go away with time..but i really worried as my bllod pressure before covid was fine and i have no other pre existing illness.. Is anyone faving same issue and how is tje recovery..please guide"
255,i want - COVID 19 antibody test - Roche quantitative antibody test Help Locating Pls,https://patient.info/forums/discuss/i-want-covid-19-antibody-test-roche-quantitative-antibody-test-help-locating-pls-761611,2021-05-05T16:10+00:00,"
                                mikestone
                            ","I want a COVID 19 antibody test.
Specifically a Roche quantitative antibody test.

I realise I will have to pay for this - No problem

I had Zero reaction to both Pizer Vaccinations and need reassurance before mixing.

Does anyone have information on this being offered in UK.

Regards"
256,How do the transmissibility and severity within vaccinated populations compare for Covid-19 vs flu?,https://patient.info/forums/discuss/how-do-the-transmissibility-and-severity-within-vaccinated-populations-compare-for-covid-19-vs-flu--761549,2021-05-04T20:47+00:00,"
                                dtronvig
                            "," Prior to the vaccine, there were absurd characterizations of Covid-19 being comparable to seasonal flu. Now with the vaccine, it looks like the transmissibility -- for the vaccinated -- and the likely severity of infection for the vaccinated *may* really be comparable to the flu. We are getting some idea of  those 2 aspects for Covid-19, but are there corresponding measures for the flu, for people who get flu shots?
 
I can find numbers relating to, like, the R0 for the flu in the general U.S. population (in which about 50% get vaccinated) and stats for cases, hospitalizations and deaths in the general population, but are there corresponding numbers for people who have gotten flu shots?"
257,"Day 9 - when inhaling deeply, feeling a strong tickle in throat area and need to cough",https://patient.info/forums/discuss/day-9-when-inhaling-deeply-feeling-a-strong-tickle-in-throat-area-and-need-to-cough-761170,2021-04-30T01:20+00:00,"
                                aBallofSunshine
                            ","Hello Everyone,

My covid symptoms started last Wednesday April 21 with nasal congestion, runny nose and sneezing. By Monday my temp was 37.7 and I started taking tylenol every 4-6 hours which eliminated the fever. Yesterday, I skipped my afternoon tylenol to see how my body would react and my temp was 37.5 and I feel kind of off like I was going to get a fever. So I took the tylenol and it went back down. My sense of smell is coming back, but I have this dry cough that whenever I inhale deeply I feel this hard tickle in my throat and I have to cough it out. I'm also pregnant at 27 weeks, and I am so scared of developing covid pneumonia.

Any advice/tips? Has anyone else experienced a cough with the strong tickle in the throat?"
258,2nd covid vaccine,https://patient.info/forums/discuss/2nd-covid-vaccine-760976,2021-04-28T12:45+00:00,"
                                vicky16205
                            ","Good evening,has anybody felt unwell after 2nd vaccine,I feel very lethargic and seem to be having horrendous headaches was fully vaccinated two and a half weeks ago "
259,How sick could someone plausibly get from Covid after being fully vaccinated?,https://patient.info/forums/discuss/how-sick-could-someone-plausibly-get-from-covid-after-being-fully-vaccinated--759589,2021-04-27T04:40+00:00,"
                                dtronvig
                            ","Aside from the Pfizer vaccine being found 91.3% effective against a detectable infection, it is said that ""The vaccine was 100% effective against severe disease as defined by the U.S. Centers for Disease Control and Prevention (CDC), and 95.3% effective against severe COVID-19 as defined by the U.S. Food and Drug Administration (FDA).""

So do we have some good idea of what the worst plausible case of Covid would be like for someone who has been fully vaccinated? Apparently it wouldn't rise to the level of what the CDC considers ""severe disease"". For someone without complicating factors, are we talking about something like a bad bout of seasonal flu, with no lingering effects?

(If there's a better place to ask please point me there.)"
260,Itchy throat one day...  dry cough the next help  anybody else ,https://patient.info/forums/discuss/itchy-throat-one-day-dry-cough-the-next-help-anybody-else-760560,2021-04-22T13:16+00:00,"
                                nicole0003
                            ",yestersy i woke up with an itchy throat... and today cough... no other symptoms.. our weather is cold and then hot here in texas and allergies are suppose to be bad but i never just get a cough... i usually have runny nose with a cold but dont ... im so scared i already had covid in october and scared .. has anybody else had just itchy throat and cough... last i had it i didnt i just had digestive problems 
261,COVID transmission in the eye?,https://patient.info/forums/discuss/covid-transmission-in-the-eye--760181,2021-04-17T14:00+00:00,"
                                newtothis24
                            ","Does anyone know the risk of COVID transmission through the eye?

I used a public toilet today, washed my hands after but then unlocked the door and around 5 mins later touched my eye with the same finger that was pressed against the lock.

What are my chances that this could cause me to transfer COVID to myself? My hands were clean but I didn't get a chance to sanitise after touching the lock. I'm worried that based on the amount of people using the toilet that I've put myself at risk.

Any advice would be appreciated because it's seriously worrying me."
262,"My father got covid positive. He had wet cough, but at 5th day he took 1 spoon of dry cough syrup.",https://patient.info/forums/discuss/my-father-got-covid-positive-he-had-wet-cough-but-at-5th-day-he-took-1-spoon-of-dry-cough-syrup--760036,2021-04-16T22:04+00:00,"
                                ansh78813
                            ","so, He had wet cough, but took 1 or 2 spoon of dry cough syrup, and then the other day took 2 time dose of wet cough syrup. Now, he has dry cough. **What to do now? ***did the wet cough became dry cough? ***What happens when wet cough turns dry?**"
263,Astrazeneca vaccine,https://patient.info/forums/discuss/astrazeneca-vaccine-759463,2021-04-16T08:14+00:00,"
                                john40331
                            ",Does anybody know why over 55/60 can have the AstraZeneca injection in countries concerned with blood clots? Can they not get blood clots?
264,What are my chances of catching COVID?,https://patient.info/forums/discuss/what-are-my-chances-of-catching-covid--759963,2021-04-14T22:57+00:00,"
                                newtothis24
                            ","I have been pretty anxious about COVID lately to the point I've had many PCR tests due to the physical symptoms that come along with my anxiety that I mistook for COVID.

I'm trying to get through it and I've now been vaccinated with the first dose of AstraZeneca for 23 days. I'm always careful when I go out and don't see many people. I'm working but it's very isolated so I'm not face to face with people and I only have one housemate.

Realistically what are my chances of still catching the virus? I'm also based in the UK so cases are pretty low but places are opening up again."
265,"If someone in my household tests positive for covid, help??",https://patient.info/forums/discuss/if-someone-in-my-household-tests-positive-for-covid-help--759811,2021-04-12T23:21+00:00,"
                                cameron46037
                            ","If someone tests positive for coronavirus, and I happen to get sick with the symptoms of coronavirus, should I go get a test too? Or should i just assume i have it and start self-isolation? I do not want to go outside and risk  getting other people sick if i do have it."
266,Ferritin levels on day 6 after symptoms - COVID 19,https://patient.info/forums/discuss/ferritin-levels-on-day-6-after-symptoms-covid-19-759690,2021-04-10T14:49+00:00,"
                                anshul84645
                            ","Covid positive patient, female, 59 years
Today is 6th day since symptoms showed up, we did some bloodwork, but some test results are too high. Can someone with expertise or experience comment, if this means mild, moderate, OR severe covid, and if any immediate steps need to be taken? Thanks!

![image](https://patient.azureedge.net/forums/images/upload-sm/1369465-637536629448731005.jpg)"
267,How Long To Quarantine?,https://patient.info/forums/discuss/how-long-to-quarantine--759643,2021-04-09T19:22+00:00,"
                                samantha80183
                            ","Okay so a bit about my family.

My husband works at IT, he got his first dose of the vaccine, as did I, and we are waiting for our 2nd. (I am a stay at home mother.) We have a 4 year old daughter and an almost 1 year old who has an SVT since 2 months old. 

We have been practically in a bubble. My husband works (masks required) and we do get groceries once a month (usually we do grocery pick up but we are on WIC so we do stop once a month to get WIC items.) The only people we have seen since this all began are my parents, who take it VERY serious, and my SIL, who also does.

My parents have been fully vaccinated (yay) now, but now that they have been, my sisters family will be visiting them every now and then. My sister's family does not take it serious at all, refuses to vaccinate or wear masks or social distance. 

We know that there IS a possibility of spreading it even after being fully vaccinated, so we aren't sure how long we should stay away from my parents when they visit my sisters family. 

I talked to her pediatrician and she had said it was ""up to us"" on how we felt.. either wait 2 weeks, or wait a week and see if they have symptoms. 

The WIC clinic told me that it was ""very rare for someone vaccinated to pass it on"" and that we ""probably didn't have to worry"". 

But others have told me not to risk it and do a full 2 week of distancing from them. 

So I'm confused now. It'll be a week, Saturday, since my parents have seen my sisters family. They have some health problems  unrelated to covid (they both had had covid tests before this as they have had to go to the hospitals a few times for testing to see what's going on) but they have no covid symptoms. 

Should we still quarantine another week with no contact, should we see them but have them wear masks (they have said they would if we wanted them to), or is it safe enough, since they are fully vaccinated and have been very careful for a week with no symptoms, to see them?

I know covid isn't as likely to be dangerous for children, but since our daughter had a heart condition (which we can thankfully say she has not had an episode since October now! but back in June-July it spiked her heart rate due to a simple fever she got) we have been scared to let anyone near the household. 

My parents are our only outlet, so we're hoping we will be able to see them sooner, but I will do whatever is safest for our kids too."
268,Health Check,https://patient.info/forums/discuss/health-check-759462,2021-04-07T06:00+00:00,"
                                filip85377
                            ","I wish to book an appointment to my GP on Whitley Rd., Manchester. Do I have to call them or can I do it over these web pages? I`m little bit confused. Can you help me?"
269,Strange side effect from vaccine,https://patient.info/forums/discuss/strange-side-effect-from-vaccine-758964,2021-04-06T03:05+00:00,"
                                leo1973
                            ","I had my first dose of the AZ vaccine on Sunday and, besides feeling a little funny in the evening I was fine,
From Monday onwards I have been very tired (to be expected) but I have also had long waves of what I can only describe as feeling high or trippy. As I type this I feel very spacey and it is starting to trouble me now as it is not improving and this does not appear to be a common side effect.
Am I worrying over nothing? 
I did not have any fever, just some headaches and a bit of stiffness."
270,New symptoms after initial COVID vaccine dose,https://patient.info/forums/discuss/new-symptoms-after-initial-covid-vaccine-dose-759285,2021-04-05T22:40+00:00,"
                                ZD27502
                            ","I've been a COVID long hauler since March 2020, with persistent symptoms of health palpitations and shortness of breath. 

Was hoping the vaccine would help alleviate my symptoms like I've heard in other forums, but unfortunately it's been the opposite for me. I got the first Pfizer dose on 3/17  and have been experiencing more significant issues ever since.

* Swollen thyroid
* Chest pains
* Fatigue
* Headaches
* Swollen lymph nodes
* Increased heart rate with even minor activities

It is now 4/4, almost three weeks since my first shot and these symptoms have not improved. Has anyone else had this experience, and did you take the second dose? If so, did that improve your health?"
271,HIPPA question,https://patient.info/forums/discuss/hippa-question-759141,2021-04-03T20:44+00:00,"
                                david65059
                            ",Hi.  I am divorced and have shared legal and physical custody.   My children's mother has recently started dating a physicians assistant at an office that does not provide care for our children. The PA has recently advised my ex wife on issues pertaining to COVID 19 and our children without my consent or knowledge and heeded the recommendations.  Is this a violation of HIPPA laws? 
272,Vaccine,https://patient.info/forums/discuss/vaccine-758966,2021-03-31T23:40+00:00,"
                                tom69824
                            ","hi. i got the covid jab yesterday. im 67 years old. im insulin dependent diabetic. last night when i went to bed, suddenly i got a chill then shivering for an hour or more. scary time. im ok today .maybe with  the strong response i had to the vaccine   it may be ok now..."
273,When to test again to see if you are negative?,https://patient.info/forums/discuss/when-to-test-again-to-see-if-you-are-negative--758909,2021-03-31T14:03+00:00,"
                                vaindioux
                            ","Hi

I have contracted Covid and am quarantined at home with symptoms but it's not that bad. I watch a lot of TV and rest.
I read here that some people drag symptoms, and some go back to work.
When shall i go test again (I am in my 7th day with symptoms)?
If you answer ""When your symptoms are gone"", What if after 2 weeks or more I still have symptoms?

Thxs a lot

Patrick"
