,Titles,Links,Author,Content
284,"9 year old with daily headaches, memory loss, and vision changes",https://connect.mayoclinic.org/discussion/9-year-old-with-daily-headaches-memory-loss-and-vision-changes/,jwright4981 @jwright4981,"My 9 year old son is 3 months post COVID and has been having daily headaches, vision changes, and memory loss. It started with double vision Jan 26th and has progressed to daily headaches and memory loss. He’s been unable to attend school since Feb 9th. We’ve been to multiple doctors with no answers. Anyone else’s children experience anything similar post COVID? "
285,Stabbing headache due to hyper immune response to Covid booster,https://connect.mayoclinic.org/discussion/constant-stabbing-headache-after-covid-booster/,smtoia @smtoia,What can you do for constant stabbing headache in teen due to hyper immune response to covid booster?
286,Long-Haul Covid and Asthma Diagnosis (anyone)?,https://connect.mayoclinic.org/discussion/long-haul-covid-and-asthma-diagnosis-anyone/,otter2154 @otter2154,"I was horribly sick for a several months last year (Nov, Dec and into Jan) with severe Covid-like symptoms. My PCP would not see me in person because of the Covid symptoms and only offered pep talks through video chat … so I suffered through it all at home. Finally got to a pulmo in Jan and after testing he immediately diagnosed me with moderate persistent asthma (I am 57). "
287,Plasmapheresis for brain fog in Long COVID,https://connect.mayoclinic.org/discussion/plasmapheresis-for-brain-fog-in-long-covid/,joelsg @joelsg,My 37 yr old son with Long COVID has been suffering from incapacitating brain fog for more than a year. He has tried multiple medications  and rehabilitation treatments without improvement. I have found some information online that suggests plasmapheresis may be helpful and is a pretty low risk procedure. Has anyone had or know someone who has had plasmapheresis for the brain symptoms of Long COVID?
288,Post COVID Symptoms: Brain fog and tingling lips,https://connect.mayoclinic.org/discussion/post-covid-symptoms/,drleiferman @drleiferman,I got Covid in January and shingles one month later.  Is it possible that my brain fog and tingly lips are from post covid brought on by getting shingles?
289,Post COVID pneumonia on oxygen at home. How long does O2 weaning take?,https://connect.mayoclinic.org/discussion/home-oxygen-post-covid-pneumonia/,susie333 @susie333,daughter discharged a few weeks ago on 3L.  she is young (37) with 2 children and trying to wean down about every other day.  her heartrate continues at 100+.  she sees pulmonologist for initial virtual visit end of month.  about how long can this take?  I know everyone is different.  any general parameters to gage the weaning process.  she had covid pneumonia.  thanks!
290,Does autoimmune disease = immunocompromised?,https://connect.mayoclinic.org/discussion/autoimmune-disease-immunocompromised/,ddwilliams @ddwilliams,"Does having an autoimmune disease (PSC specifically) mean that you should avoid situations with other immunocompromised individuals? Yes, this is coming up because of coronavirus, but good to know for the future guidance anyway. The PSC’er has not had a transplant and is otherwise healthy. I’m just not clear if autoimmune = immunocompromised. Thank you in advance."
291,Anyone got first vaccine shot while experiencing long COVID symptoms?,https://connect.mayoclinic.org/discussion/vaccination-during-long-covid/,aae @aae,"Has anyone received their first shot of vaccine post infection while experiencing Long Covid symptoms? Did it improve your symptoms? This subject is all over the news lately, but I am interested in learning about personal experiences of this."
292,Is this a COVID crash? Any suggestions on how to stop a crash?,https://connect.mayoclinic.org/discussion/the-covid-crash/,liz58 @liz58,"I learned about the covid crash in class. I am not sure I experienced one until this week,  I have been getting headaches but this headache started Monday and it subsidies but sort of lingers. It that the crash? I have had about 5 of these headaches since my covid Nov 2020.  I can't figure anything that pinpointed it as a trigger,  I have migraine med,  it helped but didn't take headache away.  Any suggestions on how to stop the crash as I'm on day 5. If this is considered a crash. "
293,COVID-19: Anyone else dealing with postponed heart procedure?,https://connect.mayoclinic.org/discussion/how-is-covid-19-affecting-you/,inali @inali,"I was scheduled for triple valve surgery and CABG on March 23. That has been postponed due to pandemic. In a way, it’s a relief. On the other hand, I worry that I’ll be able to stay healthy long enough to have the surgery. Anyone else dealing with postponing necessary procedures? How are you handling it?"
294,Lingering dry nasal passageways ,https://connect.mayoclinic.org/discussion/lingering-dry-nasal-passageways/,amwiz41891 @amwiz41891,"Hello, at about two weeks into Covid and now still at 11 weeks, I’ve had no moisture/mucous in my nose. If I get anything out, it’s stringy white and opaque. I’ve had other post Covid issues that come and go…from lip tingling, Covid tongue, dry mouth, loss of smell and taste, regained but not 100%. Going to a third ENT and a long haul Covid clinic in the coming weeks. Thanks "
295,I thought I was losing my mind! Anyone else?,https://connect.mayoclinic.org/discussion/i-thought-i-was-losing-my-mind-anyone-else/,bookgirl930 @bookgirl930,"I had Covid July 2020 in a coma for 9 days and 12 more mostly in ICU. Coming home I was very confused and did not understand how sick I was. Once the steroids wore off I started feeling lousy. Exhausted but next level exhaustion, brain frog, couldn’t finish sentences, nightmares, insomnia, muscle twitches, hand tremors, losing my hair, numbness and tingling in my ankle and lower back, vision changes, etc. it seems like a never ending list. My PCP wouldn’t listen, she thought I needed to increase my anxiety medication and seek treatment for PTSD. I was told to stay away from support groups and google. I finally thought I was having a stroke or heart attack and went to the ER.  FINALLY someone listened and now I’m being followed by a neurologist and have several other appointments because they finally listened and “think” all of these symptoms are Post Covid effects. For 20 months I thought I was literally  losing my mind. Is anyone seeing improvement this far out of initial infection? "
296,Trouble doing laundry. Anyone else struggling with simple daily tasks?,https://connect.mayoclinic.org/discussion/trouble-doing-laundry-anyone/,kssunflower @kssunflower,"Does anyone else struggle with doing laundry? I struggle matching things up and overall brain fog. It seems so silly and simple, but it's a challenge for me."
297,Anyone been advised to stop serotonin reuptake inhibitors (SSRIs)?,https://connect.mayoclinic.org/discussion/serotonin-reuptake-inhibitors/,Lucy @welchllb,"Has anyone been advised to stop taking their serotonin reuptake inhibitors like Imipramine/Tofranil or Elavil, etc.?  I have been taking a low dose for a long time to treat fibromyalgia."
298,Reduction in Heart Rate during Activities and Less Fatigue,https://connect.mayoclinic.org/discussion/reduction-in-heart-rate-during-activities-and-less-fatigue/,baker00l @baker00l,"Does your heart rate shoot up just when taking a shower or washing the dishes or walking down the hall?
I have been adhering to strict heart rate control measures during all of my daily activities, and am seeing significant improvement in heart rate reduction during activity and significant improvement in fatigue in six weeks.
No drugs, or special food or anything, just an inexpensive heart rate tracker and chairs in every room in my house.
I have been a Long Hauler for 20 months and just recently started Occupational and Physical Therapy in January 2022. My occupational therapist suggested using a sit and rest technique when my heart rate reached 20-25 bpm more than my resting HR. So, I watch my heart rate on my phone tracker while doing any activity, and when my heart rate gets 20-25 bpm above my resting heart rate, I immediately sit down and do deep belly breathing until my heart rate lowers to 10 bpm above my resting heart rate. Then I get back up and continue doing the activity. If sitting and belly breathing does not lower my heart rate to 10 bpm above my resting heart rate within 3-4 minutes, then I lie down until the heart rate is settled. Then I get back up and start the task again. If I leave the house on an errand, I carry a small camp stool with me and use it in the store. It took two weeks to get myself trained to stick with it and be patient, but now six weeks later I have reduced my heart rate during the same activities by 65%. AND my fatigue is lessening too.
I have posted my heart rate reduction data on the Facebook group Simple Tools for Recovering Long Haulers. I will also upload the PDF here tomorrow when I am back online.
I am hoping that maybe this can help someone else too. 🤗"
299,Recurring sore throat without COVID,https://connect.mayoclinic.org/discussion/recurring-sore-throat-without-covid/,Lucy @welchllb,"I have been experiencing a mild sore throat on and off for at least a month or two.  It is now worse.  I have tested and the result is Negative for COVID.  I had acute COVID with pneumonia August 2020 but was not hospitalized.  Anyone else have this long term symptom?  I have many other symptoms, too, but this one is fairly new.  Thank you."
300,"Anyone have symptoms of longhaul COVID, but didn't have infection?",https://connect.mayoclinic.org/discussion/asymptomatic-brain-fog/,tylerk @tylerk,"Has anyone experienced the neurological symptoms of covid, but haven’t had covid that they are were aware of?
For the past three months, I’ve been dealing with brain fog, lightheaded, eye flashes about once a week, subtle dizziness, and my eyes feel strained or fatigued often.  I also dealt with brand new and pretty significant heart burn at around the same time (it has since settled down)"
301,Long COVID and dealing with Strokes: Anyone else?,https://connect.mayoclinic.org/discussion/covid-and-strokes/,hnickol @hnickol,I had Covid in November of 2020. Suffered with long covid since. I had a stroke at 10 months out. I am 41 and was 'healthy' until this hit.  I recently had Omnicron and 7 days later another stroke.  I have been reading about how covid attacks blood vessels and the lining in the brain.  Anyone else have similar situation or have read any treatment options? 
302,Finding Doctors Specializing in Post Covid Treatment,https://connect.mayoclinic.org/discussion/finding-doctors-specializing-in-post-covid-treatment/,aztennisguy @aztennisguy,"I was competitive tennis player and runner prior to covid 3 months ago.  Now have crazy muscle issues and even some small rash/bumps on skin for some reason, and finding any doctor that actually believe Covid is real has been tough.  I know Mayo has post covid clinic, but I am in Phoenix, AZ.  Primary care physicians seem a little useless these days in regards to post covid treatment.  If anyone has suggestions on actually finding the right care for us Covid long haul types, please feel free to comment with suggestions.  I see a lot of places marketing they have post covid programs, like Banner Health, but think that is more for marketing because I have not seen anything that relates to a true group of doctor's interested in post covid care.  "
303,Mayo Educational Visit with Post COVID Clinic,https://connect.mayoclinic.org/discussion/mayo-educational-visit-with-post-covid-clinic/,baker00l @baker00l,Has anyone attended the Mayo Educational Visit with other COVID survivors? It is scheduled from 8:15-5 for two days straight. Are there any breaks? As a long hauler I am concerned about lasting that long without a rest.
304,Dealing with brain fog: What helps you?,https://connect.mayoclinic.org/discussion/dealing-with-brain-fog/,jlo70 @jlo70,"I’m 51 years old and new to the psoriatic arthritis auto immune world, having been diagnosed two years ago. My symptoms kicked into high gear the past year, and I’m experiencing plenty of physical issues, but the one that might be the most frustrating is the intense brain fog that’s with me daily. It’s making it difficult for me to do my job well, and it’s starting to really cause me a lot of concern and doubt about my ability to continue with my current job because it’s very mentally demanding."
305,Long Covid inflamed Vocal Chords,https://connect.mayoclinic.org/discussion/long-covid-inflamed-vocal-chords/,albrecht71 @albrecht71,"I have little to no voice and when talking I have gasp to breathe, heart races doing little things, fever, no energy fatigue. I’m 41 days in my fight. Just wondering if there are any suggestions out there. "
306,Long Haul Covid Digestive Issues,https://connect.mayoclinic.org/discussion/long-haul-covid-digestive-issues/,mikeaz @mikeaz,"Does anyone else have difficulty with eating? I am nauseous most of the time, I have no appetite and feel like I force myself to eat. I am almost 6 months after first getting COVID and it’s not getting any better."
307,One year longhauler still struggling with lungs: What works for you?,https://connect.mayoclinic.org/discussion/long-haul-after-1-year-foggy-brain-and-cold-air-in-my-lungs/,doodleslb @doodleslb,I still struggle with my lungs. The cold air gets in my lungs. They get cold. It takes hours to warm my body back up. I lay on a heating pad for hours to get my feet and hands and body warm.  I raise my arms over my head I can breath afterwards. The oxygen in my lungs doesn’t get enough. I get foggy brain.  Been doing PT for a year.  Just started water aerobics. I fine that I loose my breath and get brain fog. And my muscles shake for hours afterwards. And my body gets very cold.  Many more things.  
308,12-Week Virtual Post-Covid Syndrome Treatment ,https://connect.mayoclinic.org/discussion/12-week-virtual-post-covid-syndrome-treatment/,teacherwife74 @teacherwife74,How do you request access to the 12-Week Virtual program? I’ve exhausted every local resource and am desperate for help.  
309,Deep Breathing to Stop a COVID Crash,https://connect.mayoclinic.org/discussion/deep-breathing-to-stop-a-covid-crash/,baker00l @baker00l,"Hello Everyone, my OT and PT therapists both witnessed one of my ""covid crashes"" today. The kind that make you breathless and dizzy and unable to do much of anything. So instead of the scheduled therapy, today we focused on recovery only.
They recommend that recovery take place when you are lying flat on your back. Take in a deep breath, then without exhaling, take in as much additional air as you can. So a double breath. You should feel the expansion in your ribs. This will flood your lungs with oxygen. Then let the air out as slowly as you can. Again when you think you are done exhaling, try to force more out. Do this until you are feeling more clear headed and less dizzy. I did it for about 10 minutes. Then sit up very very slowly. And do the same thing sitting up for several more minutes.
My crashes usually last 2-10 days. We are going to try to reduce the amount of recovery time by doing these breathing exercises laying down repeatedly through out the day. I am going to try lying down and doing double breathes for 10 minutes every hour.
I will let you know how it goes."
310,Power snow shovel,https://connect.mayoclinic.org/discussion/power-snow-shovel/,Laura Dropps @ldropps,"I just wanted to recommend a power snow shovel to folks with snow. I'm not able to shovel with a regular shovel, but I can with a power snow shovel. It's more pushing and less lifting. It won't do big areas, but if you have a sidewalk or porch that needs shoveling this may be worth looking into."
311,Wellness Visits after Educational Class,https://connect.mayoclinic.org/discussion/wellness-visits-after-educational-class/,baker00l @baker00l,Hello! I thought I read that we would have 12 weeks of wellness visits virtually after our Educational Class? My class was Jan 17 and 18 but I have not heard anything about wellness visits. When does that start? Is it something that I need to initiate? Any info would be much appreciated! 
312,Do you use a Wellness Journal? ,https://connect.mayoclinic.org/discussion/wellness-journal/,liz58 @liz58,Does anyone use a wellness journal/planner?  I'm using a paper. A calendar . I was wondering if there is a better way to plan my week.  I googled it so everyone wants to sell me one and most are $30 
313,Is it time to get a full vaccine regimen?,https://connect.mayoclinic.org/discussion/is-it-time-to-get-a-full-vaccine-regimen/,jsakell @jsakell,"I had the Johnson & Johnson vaccine in March 2020 and a half dose of Moderna as a booster in November. My primary care doctor recommends ""starting over"" with a full regimen of one of the MRNA vaccines, as he says the J&J is no longer providing protection and my half dose is 2 months old. Are there downsides to this? A friend who also has degenerative disk disease (which I have) says the Moderna vaccine worsened it noticeably. Yikes. Please advise."
314,Getting the antiviral drug Remdesivir after being vaccinated,https://connect.mayoclinic.org/discussion/getting-the-antiviral-drug-remdesivir-after-being-vaccinated/,erichess @erichess,"My daughter is in the hospital with covid. The doctors want to give her the antiviral drug remdesivir.
I'm concerned there could be a reverse reaction from the drug remdesivir that may be detrimental to the Jensen vaccine she got 2 weeks ago.
Has anyone else encountered this situation?"
315,Post Covid eye disorder,https://connect.mayoclinic.org/discussion/post-covid-eye-disorder/,daviddennis123 @daviddennis123,I have developed severe sensitivity to light. Is this common?
316,Has anyone had monoclonal antibody treatment for COVID infection?,https://connect.mayoclinic.org/discussion/monoclonal-antibodies/,ktgirl @ktgirl,Has anyone here had this treatment and did you have any side effects from it. There seem to be a lot of side effects. 
317,Nurses/Frontline Workers who treated Covid patients,https://connect.mayoclinic.org/discussion/nursesfrontline-workers-who-treated-covid-patients/,RMS @rinadbq,"ED & ICU Nurses, Techs, and pre-hospital medical personnel have been particularly vulnerable to contracting COVID from direct patient care of unstable, un-diagnosed COVID patients. All those 'aerosol generating procedures' and sustained direct personal contact put us at exceptionally high risk of infection. Our faces are 6"" from coughing patients while starting IV's, administering oxygen, attaching cardiac monitor leads and positioning for x-rays, let alone proning, CPR, intubation and post-mortem care.
I am an ED Nurse, over 1 year post infection and still unable to work due to continuing physical and cognitive issues with 'Post Acute COVID Syndrome (PACS)'. Let's support each other here. Looking forward to hearing from you."
318,New pulmonary fibrosis post COVID: Preparing for vitual follow-up,https://connect.mayoclinic.org/discussion/new-pulmonary-fibrosis-post-covid/,susie333 @susie333,daughter in hosp 1 week with covid pneumonia.  discharged with pulmonary fibrosis after 2nd ctscan.  now home on 02 3L and can't see pulmonologist virtually before end of Jan near Seattle.  is it OK to wait this long.
319,Accuracy of At home COVID testing kits,https://connect.mayoclinic.org/discussion/accuracy-of-at-home-covid-testing-kits/,ejrquast @ejrquast,"Myself and a family member are immune compromised and would like to get together safely.  Given the Omicron variant and lack of testing availability without symptoms, is there an accurate at home C. test?  "
320,Is Long Covid limiting your ability to drive?,https://connect.mayoclinic.org/discussion/long-covid-and-driving/,cyclones30 @cyclones30,"I've had a lot of head issues since April 2020 when they think I had Covid and didn't know it. (never got tested then since it was early in the game) Vision issues that have since gone away, daily headaches and tingling scalp, numb spot on top of my head, and all get worse if I drive. Anyone else experience anything similar? "
321,Covid during pregnancy…vs Vaccination!?! ,https://connect.mayoclinic.org/discussion/covid-during-pregnancy-vs-vaccination/,juliepoissant @juliepoissant,"If a pregnant woman of twins has the covid-19 during her first month of pregnancy…
Whats are the recommandations to follow for the Covid-19 vaccination?
Should she get vaccinated during pregnancy? If yes…when? Witch term or month? "
322,Long COVID: I have questions about getting the booster vaccine,https://connect.mayoclinic.org/discussion/long-covid-booster-issues/,ebergfeld @ebergfeld,"Hello and thank you all for this forum. I am writing for my husband who was sick with Covid Feb 2020 and began presenting long covid issues last winter (lungs, physiological changes to heat/cold tolerance, headaches, insomnia, etc) but things worsened when he was vaccinated last spring: fatigue, speech degradation, mood changes, depression) and he is wanting to get the booster but concerned of any further long term impacts. Has anyone else dealt with worsening conditions post vaccine and/or post booster? We both firmly support being fully vaccinated and getting boosted and understand that his physiological response is an anomaly."
323,How long does lingering covid last?  Is there any help?,https://connect.mayoclinic.org/discussion/how-long-does-lingering-covid-last-is-there-any-help/,gabbygirlkc09 @gabbygirlkc09,"Hello,
I have Covid Delta Variant for 6 weeks now. I’m at end stage of covid/ covid lingering symptoms: fatigue is the worst, chest tightness, shortness of breath, heart beats quick, chest pain, cough, diarrhea, dizziness from sit to standing or move too quickly, some loss of smell . These are my main symptoms. I’m getting better slowly.
Worried and anxious about why I’m still sick not better yet.
I’m fully vaccinated since Feb’2021. Never had covid prior."
324,Worst fear: I got COVID,https://connect.mayoclinic.org/discussion/worst-fear/,KeepingHeadUp @elizabeth513,"My baby boy got sick with a cold on the 28th of November- was sneezing, coughing a little and had a low grade temperature and some eye boogers and loss of appetite . I brought him to the ER and they didn’t even test him for Covid and met with us very quick and said he had an ear infection. I asked if they would test him and they said for what “it’s not like there really even any treatment” I was surprised. He had his doctors appointment on the 1st where she did a rapid Covid test because I stated that me and dad were not feeling the best. That came back negative, however, after that appointment I developed a mild cough with little phlegm and a runny nose with sinus press That causes a headache. I went to put some Vicks rub under my nose and noticed I couldn’t smell it which was a first l. I decided I’d get tested for Covid yesterday before the holidays. My symptoms have been: stuffy nose, runny nose, mild cough that only lasted a day, sinus pressure and headache, sweating of hands and feet, then just these past three days of have been waking up throwing up bile and having watery diarrhea- I did not have the diarrhea today only the throwing up of the bile in the morning. My stuffiness has also subsided today in my sinuses. I’m pretty devastated that I’ll have to miss Christmas now though and my poor little baby does too. Overall these symptoms have been mild but I do have a blood clotting disorder- Antiphosphalipid Antibody sydrome also known as lupus anticoagulant and I have to take a blood thinner for 45-6 0 days now. I was prescribed Eliquis, however I was told by the pharmacist that isn’t appropriate for someone  with APS. Does anyone else have this experience? I’m very scared and anxious not only for myself but my son. I don’t want anything to happen to us. Please keep us in your thoughts and prayers "
325,Losing hearing: Getting worse since having COVID,https://connect.mayoclinic.org/discussion/losing-hearing/,gabprice @gabprice,I had Covid back in September 2020 and ever since then I’ve had my hearing has been getting worse and my heart rate stays well over 100 any advice
326,Partner in hospital with COVID: It's the ultimate scare of my life,https://connect.mayoclinic.org/discussion/this-is-the-ultimate-scare-of-my-life/,pleasedontgo @pleasedontgo,"good evening, i guess we just say whats on our mind? Help. to tell the truth ive never been more scared in my life. my friend or actually my boyfriends co worker who ive never met although hes worked for this company for over 5 yrs said I sound high spirited, welp, im not. I think its because ive told myself to expect the worse but truthfully i am in such disbelief, horror and i dont know how to make it stop.
my boyfriend of 18 yrs is in the hospital with covid. He was having trouble breathing so he was admitted to icu for 2 weeks. he can barely talk and i visualize him as the fighter or the strong man ive known him to be. hes gone from icu to the fourth floor where he has his own phone now but cant seem to remember my number and he seems to be sleeping when i call the nurses station when im almost in a panic because i cant see him, take care of him or just, I dont know, something better than the engagement of the now communication which seems like none.
ive read about covid recently and the affects as well as the during and after math. this is down right the worse and sure hes not in icu anymore but i dont think hes in the clear and he seems so far from any kind of clear by far. hes 44 and im trying to prepare myself if he doesnt make it but come on, im fooling myself. I dont know how ive kept it together. I wish someone would tell me hes not gonna die. thats not possible as each person is different.
I just want to know hes not gonna die. im not ready, not that anyone ever really is, to let him go.
please, i not only need support and need to be told this is not the end.
bless each and everyone who is having a difficult time with covid and/or any other sickness. I know im not alone on my feelings but i feel alone.
I wish this covid thing affected everyone the same. not to see or hear a person going through any torture, no not at all. i just wanna know what to expect.
im sorry to anyone whos gone through this or anything unexpected. it doesnt seem fair. i know life isnt fair, this seems more unfair then the most unfairness imagined. "
327,COVID Vaccine and Shingrix  shots,https://connect.mayoclinic.org/discussion/covid-vaccine-and-shingrix-shots/,ronindoman @ronindoman,I am having my first Shingrix shot for shingles next week and about a week later my COVID (Moderna) vaccine shot.Is that OK as far as any possible synergistic effect ?
328,Where do I find Dr. Greg Poland's weekly COVID podcasts?,https://connect.mayoclinic.org/discussion/dr-greg-poland/,mpeters @mpeters,Are you showing his podcast? I can’t seem to find it anywhere else and I appreciate you showing it.
329,"SOS: COVID + skin welts, thrush, strep throat and more",https://connect.mayoclinic.org/discussion/sos/,mandi92 @mandi92,"Hi everyone, I am hoping that someone can give me some guidance or advice on all of the wild issues I’ve been having since June. I would love to make an appointment but I am not in a state local to a Mayo Clinic and unfortunately I have yet to meet a doctor or specialist in PA who has any idea how to help. "
330,Covid 19 antigen test came back positive,https://connect.mayoclinic.org/discussion/covid-19-booster-problem/,kwbarton @kwbarton,"I received my Covid Booster on December 1st and and had a typical reaction with aches and pains, chills, cough, fever, and a headache.  However, the symptoms persisted beyond a couple of days.  So yesterday I took a Covid 19 antigen test and it came back positive.  Is this something I should be worried about?  My condition remains unchanged."
331,COVID test negative: How can I be sure my symptoms are long COVID?,https://connect.mayoclinic.org/discussion/do-covid-long-haulers-test-neg-or-pos/,otter2154 @otter2154,"A pulmonologist diagnosed me with Adult Moderate Persistent asthma a few months ago. Now I’m not so convinced. I remember having debilitating chills, night sweats, phantom aches and pains, and overwhelming fatigue with serious cough and breathlessness back in early November. I tested Neg for Covid at the end of December. Though I am on asthma meds, I’m finding that my symptoms are slowly, and gradually improving (I’m finally feeling better) and that the asthma meds are becoming seemingly ineffective. I spoke with an old acquaintance yesterday who has been through the exact same cycle of symptoms that I have, and he suggested I could have had Covid earlier last Fall, not known it, and could be recovering from long-haul. (I mostly struggle with some cough now and excess mucus.) Could this be possible with a Neg Covid test in late Dec?"
332,Diaphragm Deconditioning After COVID,https://connect.mayoclinic.org/discussion/diaphragm-deconditioning-after-covid/,baker00l @baker00l,"Hello, has anyone heard anything about diaphragm deconditioning after COVID? Or how that would be treated?"
333,Dealing with severe blood clotting after COVID,https://connect.mayoclinic.org/discussion/dealing-with-severe-blood-clotting-after-covid/,savevilma @savevilma,"My ex wife, but dear friend, is struggling with blood clotting issues. Pain from major clots in her legs and lungs and trying to figure out the right balance between excercise keep the blood flowing and dodging the risk of stirring up blood clots that could cause damage to other vital organs. I read an article that blood clotting can is a cause of severe blood clotting in one third of COVID patients.
I am wondering if others are successfully or unsuccessfully dealing with the same issue?"
334,Post-COVID Energy and Other Weirdness,https://connect.mayoclinic.org/discussion/post-covid-energy-and-other-weirdness/,acansfield1983 @acansfield1983,"Six days out of quarantine, I have tons of energy, almost too much, like my body is racing and jittery, but my mind is in normal mode. However, when casually strolling down the hall at work, I feel like I’m winded, or just completed a race. I have to stop and breathe when I get to my destination. "
335,Lung mark,https://connect.mayoclinic.org/discussion/lung-mark/,fivec @fivec,Does anyone have a mark on their upper lung from Covid?  I had the infusion.
336,What drugs are used to treat COVID infection?,https://connect.mayoclinic.org/discussion/ivermectin-for-covid/,ktgirl @ktgirl,Has anyone used ivermectin for Covid. I have just tested positive yesterday. I feel mostly like I have a cold. I'm at day 4 so far. 
337,COVID Longhauler with symptoms: When should I get vaccinated?,https://connect.mayoclinic.org/discussion/covid-long-haul-and-getting-vaccinated/,rbrzeg @rbrzeg,"Hello, I want to get vaccinated; however, I am long haul and still experiencing numerous issues.  It’s  been 21 days since I was released from the hospital.  It’s been a very rough road.  Should I get vaccinated feeling the way I still do? Advice is greatly appreciated. "
338,How long will I continue to test positive?,https://connect.mayoclinic.org/discussion/how-long-will-i-continue-to-test-positive/,zrkat21 @zrkat21,"Tested positive first on 1/5/21, got tested again and positive on 1/21.. .now getting tested this coming Thursday.. .2/11.  37 days from original positive.  Need a negative test to go back to work.  Contagious or not.  Mild symptoms still exist.  TIA!"
339,How long do all 7 of us have to quarantine?,https://connect.mayoclinic.org/discussion/how-long-do-all-7-of-us-have-to-quarantine/,luraew4 @luraew4,"Our family of 4 plus 3 out of state guests came down with COVID symptoms at different times, in the last 2 weeks…last one yesterday. I haven’t been able to figure out when we can get out in public again! Each person has their own date or have to wait until the last person free of symptoms? We range in health and ages from 21 to 78 years old. Two of us were fully vaccinated with Pfizer. Two of us has had regeneron antibody cocktail. One is scheduled for regeneron. I’ve researched Mayos website regarding this, but still confused. "
340,How to Rest Between Mayo Appointments,https://connect.mayoclinic.org/discussion/how-to-rest-between-mayo-appointments/,baker00l @baker00l,"Hello, I have an odd question. I have multiple appointments scheduled on each day I will be at Mayo Clinic. Is it possible to rest somewhere in the facility between appointments? Are there any cushioned chairs anywhere?"
341,More severe colds after Covid?,https://connect.mayoclinic.org/discussion/more-severe-colds-after-covid/,Laura Dropps @ldropps,I am just on the tail end (I hope) of a week long upper respiratory infection. This is one of the worst colds/viruses that I've ever had. It's my first non-covid illness since I've had Covid last November. I'm wondering if my immune system is not 100% after fighting Covid. Any thoughts?
342,Would like to participate in the Covid Activity Rehabilitation Program,https://connect.mayoclinic.org/discussion/would-like-to-participate-in-the-covid-activity-rehabilitation-program/,rbrzeg @rbrzeg,"Hello, I called the Mayo Clinic and spoke with an individual in Dr.Vanichkachorn office and was told the program is closed to out of state individuals.  Is this factual? If so, now where do post covid long haul survivors get this type of help?"
343,New Post-COVID Symptom: Shortness of Breath during Sleep,https://connect.mayoclinic.org/discussion/shortness-of-breath-during-sleep/,melonrush13 @melonrush13,"Hi! I have a new symptom that is scaring me quite a bit. My shortness of breath has gotten worse at night. Once I'm able to fall asleep, I wake up gasping for air multiple times throughout the night. My sleep quality has gotten much worse because of this. When I wake up, my heart rate sky rockets with the shortness of breath. Any tips? Anyone else experiencing this?"
344,"""Post-acute COVID-19 Syndrome""",https://connect.mayoclinic.org/discussion/post-acute-covid-19-syndrome/,"Merry, Volunteer Mentor @merpreb","There are a lot of people who have survived COVID-19 but who have had very lasting effects months after testing negative (long-haulers). Some medical professionals are brushing them off as emotional and others are treating each symptom. One covid-19 post patient, a doctor, says that she believes everyone because that's how she feels. The symptoms, fatigue, pain, the havoc wrung by COVID-19 sounds like chemotherapy. There is damage done by the virus and others from our own immune system attacking organs in order to rid the body of the virus.  It's a quandary because there hasn't been enough time to study these side effects."
345,Trying to find a post COVID clinic,https://connect.mayoclinic.org/discussion/trying-to-find-a-post-covid-clinic/,foxpride @foxpride,"I was hospitalized with covid for 8 days November 2020.  Since then my body seems to be deteriorating little by little.  I could not return to work due to health issues.  The most recent problem started April 2021, severe joint pain and swelling with a sudden onset of carpal tunnel and neuropathy in both hands which required surgery.  I’ve tried all sorts of anti inflammatory meds.  My daily life has been compromised by this insidious disease.  I can’t exercise but occasionally.  I can see that I’ve lost muscle.  I’m 60 and feel 80.  I’d like to get help from a post covid clinic or volunteer for research but I can’t seem to find anything close to Indianapolis IN.  Any help would be appreciated."
346,Received AstraZeneca Vaccine in Australia. Booster? How to Prove?,https://connect.mayoclinic.org/discussion/received-astrazeneca-vaccine-in-australia-booster-how-to-prove/,ndubro @ndubro,I received 2 doses of AstraZeneca vaccine in Australia – the only option. Back in USA now and wondering what I should do about booster (I’m 76 years old).  Where should I go that they will okay a moderna or Pfizer booster? My only proof of AstraZeneca vaccine is a “Immunization Record” on Australian Ministry of Health letterhead and it is not accepted by the various vaccine passports that I’ve tried like American Airlines.
347,Natural Immunity after COVID,https://connect.mayoclinic.org/discussion/natural-immunity-after-covid/,jackiewsellsre @jackiewsellsre,"Good Morning –
My husband and I both experienced COVID 19 in January 2020. Since then I/we have continued to get antibody testing about every 3 months, and still test positive. We feel we have the very best protection with Natural immunity and would like to know if there is any clinical research currently being performed by the Mayo Clinic? As well as, what the clinics actual position is on the matter? And if no research is being performed by Mayo… simply – Why not? "
