,Questions
145,"
Hello Elephants Rock,
Thank you sharing with us what you are going through. I recognize that is not always easy.
If you’re noticing that your mental health is significantly exacerbated due the current circumstance, which is perfectly understandable, it’s always good to check in with your doctor or therapist to make sure that you are getting the support that you need and deserve. 
With that being said, I see that you are proactively taking the initiative to manage how you are feeling by implementing specific learned techniques and strategies. So, kudos to you for finding the motivation for that!
If you notice old patterns of feelings revealing themselves, please remember that that is perfectly normal with all the changes that are taking place. Progress is not linear and that is okay.
You already recognize what is leading you to feel overwhelmed, and that is excellent! So perhaps you can explore strategies to manage those triggers. For example, limiting the time you check the news, turning off the news notifications for periods of time, engaging in other activities to take your attention off of the current mood like for example finding a relaxing 5-minute video on YouTube, watching an interesting documentary, or just going for a walk!
You are certainly doing your best. I recognize there might be an added unnecessary pressure of engaging in “productive” activities. However, remember to engage in what feels aligned with you and what you have the headspace for, without putting extra pressure on yourself.
Keep doing what you are doing! And, if needed, you can find here some extra tips, tools, and information on how manage your overall mental wellbeing
"
146,"
At this point, little information is helpful in my opinion...get the main bits and pieces from your family/friends that you need to know, and that will prevent you from getting overwhelmed. At this point, we're all lost, and trying to figure this out together. As long as you're trying to keep your mental health ok, you're doing more than enough for yourself!
"
147,"
Thanks for your post. You're right, while staying informed is helpful, too much information may not provide extra benefit. Limit checking sources to once per day or less if you can. This includes reading or listening to news stories about COVID-19. Even though things are shifting rapidly, daily changes are not likely to affect how you should manage your risk. Feel free to check out this resource for more information: http://www.camh.ca/covid19
"
148,"
I know a lot of people are trying to find cool and unique ways to occupy there time during the quaratine.  Our anniversary was coming up and we obviously couldn't do go out and celebrate so we decided to do something creative at home instead.We took some of lights from the holidays, old sheets, burlap string, some good ol' elbow grease, moved our bed infront of the TV and built ourselves a fort.  It was so much fun and exciting that it felt as if anything else we had planned wouldn't be able to top this.With that being said, we decided to keep things interesting by creating new and exciting ideas every Friday to have something to look forward to and at the same time make this period that much more memorable.If anyone else has any ideas please share because we'd love to hear them.
"
149,"
Wow kudos to you and your wife for being super creative for your anniversary! It's really nice that you both have something every week to help the days go by.
"
150,"
It can be really challenging to feel connected during times like this. Reaching out to those that may not have as many supports around and scheduling phone calls or video chats have made a really big difference. I have been using the Houseparty app to have video chats with multiple people at once and its been great!
"
151,"
Thank you girl mom for your insightful post. The video chat app is a great idea, thanks for sharing it with us!
"
152,"
How does the app work? How many people can join at once?
"
153,"
You would need to download the app. Once you have created an account, you just add your friends (once they have accounts as well). Then, when you want to have a chat, you request that they join your room and they can pop in. You can have up to 8 people in one call. Has been working great for me and my family!
"
154,"
This is super helpful, thank you!
"
155,"
Any advice for someone who wants to stay active, yet has trouble avoiding that last bag of chips?
"
156,"
Thanks for your post! Staying healthy seems to be important to you. Physical activity is a great way to reduce stress and anxiety, and improve our mood and overall health. We can definitely provide you with some good tips on staying active and healthy during this time. Creating a routine schedule might be a great place to start. This can help increase your motivation. Also, try doing a workout that you enjoy, this will help motivation even more. For example: talk on the phone with someone or listen to your favorite music while out for a walk. 
Cravings for foods that aren’t very healthy is quite normal, too. Being aware of when you crave these foods is helpful if you want to reduce, e.g., when you’re stressed, bored, or anxious. Perhaps you can add in a different option when you notice you have a craving, such as eating an apple, drinking a glass of water, or taking a small walk outside for fresh air.
"
157,"
Thanks for the reply. Also saw this article on ESPN about physical activity. It might help: https://www.espn.com/espn/otl/story/_/id/28968781/how-stay-fit-safe-coronavirus-pandemic
"
158,"
I have zero motivation to stay active these days. I feel like all I do is stress-eat to be honest :(
"
159,"
Thank you for sharing this with us. I see where you are coming from. It sounds like staying active is something quite important for you and it has been a challenge for you to maintain it. 
At times like these, when our schedules or lives suddenly change, it can be quite difficult to manage actually and to tap into our motivation.
In fact, feeling this way during these changes is quite normal and it matters to acknowledge our feelings and give ourselves the space to experience them.
Perhaps, you can consider some of the recommendations we shared above was well as this article Cast Away has suggested regarding staying fit during these times.
"
160,"
I hear you on the chips! I end up eating in front of the TV while bingeing a show, and it gets to the point where I'm just mindlessly eating. What helps is if I transfer the snacks to a different container like a bowl or something, and leave the chips in the kitchen cupboard. That way I've got some portion control, and if I want more, I have to willfully go and get it :) 
As for exercise and activity, I walk my dog several times a day (on leash and I keep well away from others, sometimes crossing the street if someone else is approaching on the sidewalk), and I just grabbed Just Dance on sale for my console which at least gets us moving.
"
161,"
Don't buy chips. I don't buy them on my BIG grocery shops. I only buy what I healthfully need for 1-2 weeks. Always make a shopping list so nothing else sneaks into the cart.  If you are craving salty foods, it could mean you are dehydrated - so try having a big glass of water as a distraction first and foremost. It could also mean your adrenals are dealing with a lot of stress - LOL Check out my new category on Meditation and Stress Relief. I just put a few simple techniques in there to help reduce stress. GOOD LUCK!
"
162,"
Yeah the shopping list really helps me too. If I don't buy it, it's ""out of sight and out of mind"". But sometimes I let myself buy a small snack as a nice treat :)
Ooo I will try to the drinking water strategy, thanks for sharing that!
"
163,"
Yes.  What I do is play a mind trick on myself.  While many people are binge-eating and stress-eating, I am saying to myself that I will actually be LOSING weight during this lockdown, not gaining it.   Feeling like I am doing something different to what the majority of people are doing is a motivator for me, personally in this department.  When I last went grocery shopping, I bought about 10 apples.  Whenever I feel like my usual croissant or carb snack in the morning, I eat an apple instead and I'm full for a few hours.  I also bought lots of nuts and cheese.  Just think that you will be ""going against the grain"" during this period, as in, you won't be binge-eating or eating unhealthy stuff. 
 I would also suggest the classes on the Wellbeats app, if you are a member of the Wellness Centre.  The classes are pretty good and there is a great variety!
"
164,"
Thanks for the post Guitar Girl! Those are some great suggestions to keep yourself healthy. Keep up the motivation! :)
"
165,"
There has been much legitimate attention paid to the shortage of protective gear for medical and nursing staff.But  the people who clean those contaminated spaces where infected patients have worked or visited also cannot get protective gear. They are at risk every day and nobody has even noticed. Nobody is ordering a plane load of gear for them. One of them is my child and I fear for their life.  This person Works in a large site that houses numerous essential businesses and government offices.  And they can’t get  protective gear to clean any of those spaces, even  contaminated sites .  Unionized employees have the right to refuse this unsafe work, but ‘ management ‘ , maybe not. Quite frankly, without custodial staff in every space occupied by people, all of the containment  strategies we are currently using  fail, yet these people are on the  job with minimal or no protective gear every day.  This mum is scared and helpless! 
"
166,"
I strongly advise you to take action and write to your Councillor. Here is the feed from what I wrote to mine today:
Hello Councillor Layton:
Could you kindly read through the feed here and understand that ALL shared residences - condos, duplexes, triplexes, etc need your direction at this time regarding tenant safety. My specific concerns herein are with regard to:
1. Cleaning safety and efficacy, 
2. Frequent guests whom are not tenants or 'health workers/higher risk group assistants or helpers"", and almost most importantly - 
3. Second hand smoke.
Thank you for your assistance, care and attention in advance.
"
167,"
I've also been going back and forth with my landlord regarding this and that is what I forwarded to the Councillor along with these helpful links:
https://www.canada.ca/en/public-health/services/publications/diseases-conditions/cleaning-disinfecting-public-spaces.html
COVID-19: cleaning in non-healthcare settings
https://www.gov.uk/government/publications/covid-19-decontamination-in-non-healthcare-settings/covid-19-decontamination-in-non-healthcare-settings
https://www.nytimes.com/2020/04/03/realestate/coronavirus-manhattan-co-op.html
https://www.nationaljewish.org/conditions/health-information/smoking-and-tobacco-use/secondhand-smoke
"
168,"
Please learn how to make bandana masks for her and ensure she wear disposable gloved and some kind of apron that is bagged for 72 hours after each cleaning job and washed in soap and hot water.
https://www.theguardian.com/us-news/2020/apr/06/how-to-make-no-sew-face-mask-coronavirus
"
169,"
Hi Duchess of Toronto: Thanks so much for providing this information to Always Mom's post and our discussion board community. It looks like you have done some excellent research, and can provide lots of helpful information! Here are some other helpful resources on:Cleaning/Disinfecting: https://www.publichealthontario.ca/-/media/documents/ncov/factsheet-covid-19-environmental-cleaning.pdf?la=enCDC Cleaning Guidelines (with suggestions for custodial staff): https://www.cdc.gov/coronavirus/2019-ncov/community/organizations/cleaning-disinfection.htmlHope this helps!
"
170,"
I am having difficulties with trying to work from home full time and support my child in homeschool. My child needs extra support in general and I don't want them to fall behind as they were not doing very well in school before, either. They are very smart, but can't focus and requires alot of attention. We are working with doctors on a diagnosis, but in the meantime I need to do my work from home to get paid, and keep educating my child. I am doing 2 full time jobs at the same time. I am grateful for the income, but not handling the stress as well as I'd like, and want to support my child as much as possible. I also struggle with general anxiety and bipolar disorder.
"
171,"
Hi Blueberry 14, thank you for expressing your concern
here today. It must be difficult trying to handle two full-time jobs while also
trying to homeschool your child. You clearly care a lot about your child’s education
and want what’s best for them. The
COVID-19 pandemic has placed heavy new pressures on parents to teach,
entertain, reassure and guide their children more than they ever had to
before. The important thing is that you are trying your best. Judy Arnall (President
of the Alberta Homeschool Association) said: “Kids are born learners. So don’t
worry, don’t panic about keeping up their curriculum and education.” Feel free
to check out tips on how to help yourself and your child during this
time: https://www.covidwithkids.org/
It is also
important that you take care of yourself during this time as well. It can be
helpful to reach out to loved ones for support, and/or your family doctor or
other health professionals for additional support if required. Hope this helps!
"
172,"
I’m in a high state of anxiety about my 97-year old mother, who is in a nursing home in Dallas, Texas, thousands of miles from me (I live in Toronto). My sister, who lives in Dallas, was a daily visitor until the COVID-19 precautions were put in place, and I have been making regular trips to Dallas for many years now. (I had to cancel the flights I had booked for this month’s visit.) In this new world we’re in, my sister and I are completely cut off from our mother except for telephone calls (on which she can’t hear us) during which she expresses her astonishment at the scale of this crisis and her fear that she’ll never see us again before she dies. It’s heartbreaking. I find myself crying all the time - I can’t stop thinking of her. I try to meditate, do mindfulness exercises, focus on my work, etc, but I’m still crying. 
"
173,"
Hi Brooklyn 56, thank you for openly sharing this difficult situation you and your sister are in; it is heartbreaking. It is certainly normal to cry and feel worried about your mother and it can be stressful not to be able to visit her in the nursing home during this time. You may want to explore alternative safe ways to stay connected if she cannot hear you on the phone (e.g., some hospitals offer the “email-a-patient” service, where you can submit a message online and the staff will deliver it to patients the next day). I am glad you are trying different strategies to help you cope, that shows a lot of strength and determination on your end. It can be helpful to reach out to loved ones for support, and if you feel like you still are not coping well, you may need extra support from your family doctor or other health professional.
You can also visit www.camh.ca/covid19 for more resources, which I hope are helpful to you.
"
174,"
As an individual living with depression, I am quite worried about how my mood will be affected during this time when I am distanced from my friends and family. What can I do to be proactive about this?
"
175,"
We thank you for your post. Being isolated can be very lonely and can have a big effect on your mood. One thing to remember is to recall what has previously worked for you in the past that helped manage some of your depressive symptoms. Many of those strategies you can still rely on! Although they might need to be tweaked.
A common challenge is that times like these can disrupt routines; people may stop the activities they use to keep well (e.g., exercise, hanging out with friends) and engage in activities that can make things worse (e.g., stop talking to friends and family altogether). It is helpful to be aware if you are engaging in activities that are making your mood worse. It might be helpful to remind yourself that you can handle what you might be going through, and that if you feel you need support, you can reach out to family, friends, colleagues or professionals. Try to designate a few people you would reach out to if you feeling very lonely one day. This might increase likelihood that you reach out.
Also, creating a schedule with your friends and family on regular phone check-ins and video chats might be helpful. This can help you feel like you are still among your close friends, even if from a distance. Remember, social distancing does not mean you should break off all contact from loved ones. Being alone can lead to spending too much time thinking about the current situation, resulting in increased stress and anxiety. It can be helpful to connect with people who are a positive influence when you are feeling stressed.
For extra information, please visit our website: https://www.camh.ca/covid19
"
176,"
I have begun to take 15 mins of my day to meditate to deal with the added stress of this current situation. This maybe helpful to others as well. Thank you
"
177,"
I am not sure if I have depression too. I have been feeling really low and sad these days and it's hard to get up in the mornings with everything going on. Does that mean I could possibly have depression?
"
178,"
Hi ihave aquestion, thank you for sharing your valid concern with us here. 
Please note that we are unable to provide any clinical diagnosis. 
If you are worried about your mental health or have specific questions, consider reaching out to your family physician for advice on what you might be feelings and how long it has been going on.
I hear you. All the recent changes and the uncertainty can cause stress and anxiety because of its disruption to normal life as well the sudden overflow of information and attention on the topic.
I recognize it is not always easy to share this, and you show a lot of strength by telling us your concerns.
If you feel like it, you can check out this website for evidence-based tips, tools & information to help you manage these feelings and your overall mental wellbeing
"
179,"

There have been so many changes in such a short time. I’m
trying to stay positive but it gets harder the longer time goes on. I have my
own things to deal with, but then I’m also feeling mentally drained from
trying to be caring for my friends and family who are being laid off work
and having anxiety about what they should and shouldn’t do to prevent getting
or spreading the virus. 
I’m finding that a few things are helping me, like: trying
to remind myself of the silver linings or the things I am grateful for,
connecting with friends through social media or texting, watching dog videos. I limit how much news I'm watching, and try to find videos that have nothing to do with what we are going through. The 30-60minutes of distraction have been such a relief. I’ve
had to stop clicking on COVID memes on social media too because I was feeling
so overwhelmed and sad. Now I click on cute animal posts or posts about my
favourite shows. Luckily Instagram is intuitive and now my feed is a bit better
for my mental health. I also try to get some sunshine (near a window, by the
door, or short walks) when I can. 

"
180,"
I appreciate that you are willing to share this with us. What strikes me here is how many times you tried to find useful coping strategies, kudos to you! Those are all great suggestions. You show a lot of strength and determination by searching for coping strategies that help you. Thank you for sharing :)
"
181,"
I am also thinking of the silver linings at this time. We have power, water, heat, food and internet and some mode of transportation and gas for those who drive. I can't imagine life without one of these things let alone all of them. I have been doing Spring cleaning early and this feels good! stay safe and healthy!
"
182,"
I'm stressed having my family around all the time while working, they keep coming into my workspace. How do I manage this? 
"
183,"
Thank you for your post! It seems like having your family around all the time is stressful. At times like these, when our schedules or lives suddenly change, it can be quite difficult to manage.  Also, know that feeling stressed during these changes are quite normal, but it can still be overwhelming. 
We suggest finding time to speak with your family to decide when it's appropriate for them to come into your workspace and when you require your space so that you can get your work done. Perhaps you can also make a small routine for yourself, where you take some alone-time breaks during the day. Also, practicing some mid-day relaxation can help you cope with some of the stresses you are experiencing.  
Here is a great resource on stress and anxiety to check out, which might be helpful.
"
184,"
Thank you for this resource, it's very helpful!
"
185,"
Thank you for the advice and the resource! I think making a small routine will be helpful for me, I will try talking to my family later today :)
"
186,"
I agree! This has been a huge challenge for me too. Especially having the line between work and home blurred now. Keeping the boundary clear and not burning out will be tough.
"
187,"
Hello hello! A neat resource to allow one to take a break from typical Netflix Programming. https://nowtoronto.com/movies/features/paradise-theatre-host-virtual-screenings/
"
188,"
Thank you Dorothy Vallens for sharing this with us all. Paradise's virtual movies sounds great; I may even check it out myself!
"
189,"
Because of the nature of my job I am not able to work from home. I live with my husband and 2 kids, as well as my 90 year old mother and I am worried about spreading any germs to them. Does anyone have advice on how to keep safe while still going to work? This has been so stressful and makes it hard to even concentrate on my job. 
"
190,"
Hi Dreamer 85, thank you for sharing your valid concerns with us here today. It may be stressful to not be able to fully concentrate at work because you are concerned for your family’s health and safety. Along with practicing good hygiene and social distancing, here are some additional tips on how to keep safe at your workplace: https://www.who.int/docs/default-source/coronaviruse/getting-workplace-ready-for-covid-19.pdf. It can also be helpful to have a conversation with your manager/coworkers so that everyone can work together to keep your work environment safe. Hope this helps and thanks again for your post! If you have the opportunity to work from home, feel free to check out this post about working from home: https://covid19.camhx.ca/mod/forum/discuss.php?d=41#p88
"
191,"
How should I go about talking to loved ones
(especially older family members) about social distancing who seem to not be taking
it seriously? I want them to understand the importance of social distancing
while also being sensitive to their concerns. I think they understand that social
distancing means avoiding public spaces but what’s missing is that it also means
not going to visit a friend/invite people over. 
"
192,"
Thank you for your post. I appreciate that you are willing to share this with us. I understand that you are concerned for the well-being of others, and it seems you want your family members to understand it's importance. It's imaginable that others are going through this as well. However, many people react differently to situations like the COVID-19 pandemic. It is important to try to understand that other people might be more or less worried and concerned than we are. Know this, though, can be stressful.To begin, you can provide accurate and up-to-date information about COVID-19 on Health Canada's website or from the World Health Organization. Having this reliable information might be a start to discussing this with your family members, especially in regards to social distancing. Next, try approaching and listening to individuals who are either too concerned/not very concerned. Perhaps their reactions might be one of their own ways of coping with the pandemic. It's important that we always check-in with ourselves to see whether another person's concern is causing us stress, anxiety, or some form of distress. If so, try maintaining a balance with these individuals in order to ensure you're coping well.
"
193,"
Yeah I was struggling with a similar dilemma, I'm glad to hear I'm not alone in not wanting to sound like a nag but also trying to contribute to the necessary communal empathy we all need to curate
"
194,"
I'm feeling a lot of anxiety about going out to run necessary errands like picking up medication and groceries. Is there a good resource that talks about how to do this safely? I've looked into delivery but it was expensive.
"
195,"
Yeah I've been pretty worried about that too. There's still a chance I can catch it without realizing. I'm trying to follow the rules but I feel powerless!
"
196,"
Thank you for your post NotJessica Jones and Tony Stark. Going out to run necessary errands during this time can be very anxiety-provoking. I am happy to hear that you want to take precautions and find ways to safely purchase your medication and groceries in-person, since the delivery option is not for everyone. Here are some tips: (1) social distancing, (2) good hand hygiene and (3) try running your necessary errands during off-peak hours. Good hand hygiene is very important and social distancing is proven to be one of the most effective ways to reduce the spread of illness during an outbreak. While you are running necessary errands, keep a distance of at least 2 arms lengths (approximately 2 metres) from others, as much as possible. You can find more information about social distancing and hand hygiene here: https://www.canada.ca/content/dam/phac-aspc/documents/services/publications/diseases-conditions/social-distancing-infograph/social-distancing-infograph-eng.pdf . Hope this helps!
"
197,"
Just thought I'd share an excellent FREE resource I came across for parents and caregivers with young children: #FromFearToHope: A Parent's Guide to to Supporting Children's Mental Health During the COVID-19 Pandemichttps://otherlifelessons.com/products/fromfeartohopeworkbookI have used this workbook with my own boys (age 4 and 6). It made for a great activity to keep them busy (definitely needed right now because I'm working from home!) but was also really helpful for me. I was able to see how this situation is impacting both of them and now I feel better prepared to support their mental health needs. I'm curious to hear other parent's or caregiver's experience using this resource? Was it helpful? 
"
198,"
Thanks for this post boymom! Yes, it would be great to hear if other parents or caregivers have used this resource before? Thanks for sharing!
"
199,"
You're welcome! Happy to help any way I can :) ! 
"
200,"
                            I am 8 months pregnant and worried about delivering my baby in a hospital.  My elderly parents live in the house with me.   Do you have any advice?  
                        "
201,"
Thank you for your post. Being pregnant during this time can be very worrisome. Please note that we cannot provide any medical recommendations about your pregnancy, but most definitely can provide some suggestions on managing some of the anxiety you may be feeling. Coming up with a coping plan to strengthen your resilience and reducing the impact of this stressful situation might be very helpful. This can include reaching out to your support systems, making a daily routine for yourself, and practicing relaxation techniques.
It is important to be aware of the thoughts we are having, the “what ifs”, which often can add more fuel to our worries. Think of difficult or challenging situations you have an encountered that you were able to manage. Even if things weren’t perfect, what did you do to cope with the situation?
If you are worried about the health of yourself and/or your baby, consider reaching out to your family physician for advice on sanitation and extra precautions that should be put in place during this time.
Please see the “Coping with Stress and Anxiety” section of our website for more information: https://www.camh.ca/covid19
"
